folder_name,file_name,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9,label10,prob10
C:\IMAGES_SNEV\Flickr\picos\2015\16163086434.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16163086434.jpg,winter_activities,0.05464894697070122,landforms,0.013550772331655025,heritage_and_culture,0.01019998174160719,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16273254849.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16273254849.jpg,winter_activities,0.2549145221710205,landforms,0.16731232404708862,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16285407898.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16285407898.jpg,"spiritual,_symbolic_and_related_connotations",0.9270228743553162,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16425047656.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16425047656.jpg,landforms,0.008052559569478035,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16616536733.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16616536733.jpg,heritage_and_culture,0.1366613358259201,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16617266665.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16617266665.jpg,landforms,0.9845092296600342,winter_activities,0.0041312770918011665,accomodation,0.00029953327612020075,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16791057744.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16791057744.jpg,landforms,0.20801787078380585,accomodation,0.012614184059202671,"spiritual,_symbolic_and_related_connotations",0.004546188749372959,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16911419169.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16911419169.jpg,vehicle,0.33424341678619385,terrestrial_activities,0.0021367804147303104,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16913609254.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16913609254.jpg,landforms,0.03077319823205471,heritage_and_culture,0.027584822848439217,tracks_and_trails,0.01963278278708458,accomodation,0.01064287219196558,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\16915766343.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16915766343.jpg,tracks_and_trails,0.10803774744272232,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
