,Unnamed: 0,image,cat_name,act_name,act_id
0,4,"(array(['015601864.jpg'], dtype='<U13'),)",sports,curling,1
1,5,"(array(['015599452.jpg'], dtype='<U13'),)",sports,curling,1
2,6,"(array(['005808361.jpg'], dtype='<U13'),)",sports,curling,1
3,7,"(array(['086617615.jpg'], dtype='<U13'),)",sports,curling,1
4,8,"(array(['060111501.jpg'], dtype='<U13'),)",sports,curling,1
5,9,"(array(['070807258.jpg'], dtype='<U13'),)",sports,curling,1
6,10,"(array(['002058449.jpg'], dtype='<U13'),)",sports,curling,1
7,13,"(array(['021233911.jpg'], dtype='<U13'),)",inactivity quiet/light,sitting quietly,2
8,14,"(array(['018182497.jpg'], dtype='<U13'),)",inactivity quiet/light,sitting quietly,2
9,15,"(array(['018340451.jpg'], dtype='<U13'),)",miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",622
10,16,"(array(['030424224.jpg'], dtype='<U13'),)",miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",622
11,17,"(array(['052475643.jpg'], dtype='<U13'),)",miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",622
12,18,"(array(['043194502.jpg'], dtype='<U13'),)",miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",622
13,19,"(array(['029122914.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
14,20,"(array(['061185289.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
15,21,"(array(['013949386.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
16,22,"(array(['029214465.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
17,23,"(array(['036636184.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
18,24,"(array(['045606998.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
19,27,"(array(['051423444.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
20,28,"(array(['059241457.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
21,29,"(array(['004645041.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
22,30,"(array(['060754485.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
23,31,"(array(['017052412.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
24,32,"(array(['006505159.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
25,33,"(array(['094888554.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
26,34,"(array(['096563203.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
27,35,"(array(['080839735.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
28,36,"(array(['030461377.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
29,37,"(array(['009767211.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
30,38,"(array(['068423303.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
31,39,"(array(['044015249.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
32,40,"(array(['012203823.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
33,41,"(array(['049517691.jpg'], dtype='<U13'),)",occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo",3
34,42,"(array(['003438852.jpg'], dtype='<U13'),)",water activities,"swimming, synchronized",4
35,46,"(array(['031171108.jpg'], dtype='<U13'),)",inactivity quiet/light,sitting quietly,877
36,47,"(array(['052006802.jpg'], dtype='<U13'),)",water activities,"swimming, synchronized",4
37,48,"(array(['054671028.jpg'], dtype='<U13'),)",water activities,"swimming, synchronized",4
38,49,"(array(['018485446.jpg'], dtype='<U13'),)",home activities,scrubbing floors,868
39,50,"(array(['096958463.jpg'], dtype='<U13'),)",home activities,"mopping, standing, light effort",341
40,51,"(array(['077513282.jpg'], dtype='<U13'),)",home activities,"mopping, standing, light effort",341
41,52,"(array(['093949894.jpg'], dtype='<U13'),)",home activities,"mopping, standing, light effort",341
42,53,"(array(['089482735.jpg'], dtype='<U13'),)",home activities,"mopping, standing, light effort",341
43,54,"(array(['059789998.jpg'], dtype='<U13'),)",home activities,"mopping, standing, light effort",341
44,55,"(array(['092187424.jpg'], dtype='<U13'),)",home activities,"mopping, standing, light effort",341
45,56,"(array(['008849250.jpg'], dtype='<U13'),)",occupation,"chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart",148
46,57,"(array(['019598286.jpg'], dtype='<U13'),)",home activities,"cleaning, general",620
47,58,"(array(['004522729.jpg'], dtype='<U13'),)",occupation,"chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart",148
48,62,"(array(['082873751.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
49,63,"(array(['035675333.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
50,64,"(array(['028093451.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
51,69,"(array(['098688694.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
52,70,"(array(['077224477.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
53,71,"(array(['019871568.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
54,72,"(array(['000552212.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
55,78,"(array(['035846573.jpg'], dtype='<U13'),)",miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",622
56,79,"(array(['011586906.jpg'], dtype='<U13'),)",miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",622
57,80,"(array(['086310343.jpg'], dtype='<U13'),)",lawn and garden,"gardening, general, moderate effort",326
58,81,"(array(['062329813.jpg'], dtype='<U13'),)",lawn and garden,"implied walkingstanding - picking up yard, light, picking flowers or vegetables",11
59,83,"(array(['006355835.jpg'], dtype='<U13'),)",miscellaneous,"standing, talking in person",982
60,84,"(array(['031098232.jpg'], dtype='<U13'),)",miscellaneous,"standing, talking in person",982
61,85,"(array(['032518332.jpg'], dtype='<U13'),)",miscellaneous,"standing, talking in person",982
62,86,"(array(['072960618.jpg'], dtype='<U13'),)",miscellaneous,"standing, miscellaneous",53
63,87,"(array(['063755747.jpg'], dtype='<U13'),)",miscellaneous,"standing, talking in person",982
64,88,"(array(['088721274.jpg'], dtype='<U13'),)",sports,"lawn bowling, bocce ball, outdoor",12
