file_name,cat_name,act_name
056970463.jpg,sports,"canoeing, kayaking, rowing, competitive"
036831038.jpg,sports,"canoeing, kayaking, rowing, competitive"
053555381.jpg,sports,"badminton, social singles and doubles, general"
030345322.jpg,home repair,"canoeing, kayaking, rowing, competitive"
021592560.jpg,sports,"canoeing, kayaking, rowing, competitive"
085223652.jpg,sports,"canoeing, kayaking, rowing, competitive"
089590914.jpg,occupation,"canoeing, kayaking, rowing, competitive"
000001163.jpg,sports,"canoeing, kayaking, rowing, competitive"
046409516.jpg,occupation,"canoeing, kayaking, rowing, competitive"
001803201.jpg,sports,"canoeing, kayaking, rowing, competitive"
063042175.jpg,sports,"canoeing, kayaking, rowing, competitive"
012292068.jpg,sports,"canoeing, kayaking, rowing, competitive"
017530294.jpg,sports,"canoeing, kayaking, rowing, competitive"
037216702.jpg,sports,"canoeing, kayaking, rowing, competitive"
039773196.jpg,sports,"canoeing, kayaking, rowing, competitive"
098118618.jpg,sports,"martial arts, different types"
093462084.jpg,sports,"canoeing, kayaking, rowing, competitive"
021157281.jpg,sports,"canoeing, kayaking, rowing, competitive"
070173104.jpg,sports,rock climbing
013295227.jpg,sports,"canoeing, kayaking, rowing, competitive"
054577749.jpg,occupation,playing with children
082832625.jpg,sports,"canoeing, kayaking, rowing, competitive"
080590565.jpg,occupation,"canoeing, kayaking, rowing, competitive"
096555709.jpg,sports,playing with children
086875723.jpg,sports,rock climbing
042418506.jpg,sports,playing with animals
021772903.jpg,sports,"canoeing, kayaking, rowing, competitive"
031098232.jpg,sports,"canoeing, kayaking, rowing, competitive"
092019699.jpg,sports,"canoeing, kayaking, rowing, competitive"
007558509.jpg,sports,"canoeing, kayaking, rowing, competitive"
083208832.jpg,sports,"canoeing, kayaking, rowing, competitive"
007660291.jpg,sports,playing with children
078078785.jpg,home repair,playing with children
075453798.jpg,occupation,"canoeing, kayaking, rowing, competitive"
083885386.jpg,occupation,playing with children
039127686.jpg,sports,"martial arts, different types"
099920730.jpg,sports,"canoeing, kayaking, rowing, competitive"
037443616.jpg,occupation,"canoeing, kayaking, rowing, competitive"
096764709.jpg,home repair,"canoeing, kayaking, rowing, competitive"
098565045.jpg,sports,"canoeing, kayaking, rowing, competitive"
085597586.jpg,sports,"canoeing, kayaking, rowing, competitive"
020139910.jpg,sports,"canoeing, kayaking, rowing, competitive"
024720607.jpg,sports,"canoeing, kayaking, rowing, competitive"
034292966.jpg,home repair,"canoeing, kayaking, rowing, competitive"
087154568.jpg,home repair,"canoeing, kayaking, rowing, competitive"
004027816.jpg,occupation,playing with children
006970775.jpg,sports,"canoeing, kayaking, rowing, competitive"
048359305.jpg,sports,"badminton, social singles and doubles, general"
089588384.jpg,sports,"canoeing, kayaking, rowing, competitive"
001564330.jpg,sports,"canoeing, kayaking, rowing, competitive"
