file_name,cat_name,act_name
056970463.jpg,sports,"yoga, Power"
036831038.jpg,sports,"yoga, Power"
053555381.jpg,sports,"yoga, Power"
030345322.jpg,sports,"yoga, Power"
021592560.jpg,sports,"yoga, Power"
085223652.jpg,sports,"yoga, Power"
089590914.jpg,sports,"yoga, Power"
000001163.jpg,sports,"yoga, Power"
046409516.jpg,sports,"yoga, Power"
001803201.jpg,sports,"yoga, Power"
063042175.jpg,sports,"yoga, Power"
012292068.jpg,sports,"yoga, Power"
017530294.jpg,sports,"yoga, Power"
037216702.jpg,sports,"yoga, Power"
039773196.jpg,sports,"yoga, Power"
098118618.jpg,sports,"yoga, Power"
093462084.jpg,sports,"yoga, Power"
021157281.jpg,sports,"yoga, Power"
070173104.jpg,sports,"yoga, Power"
013295227.jpg,sports,"yoga, Power"
054577749.jpg,sports,"yoga, Power"
082832625.jpg,sports,"yoga, Power"
080590565.jpg,sports,"yoga, Power"
096555709.jpg,sports,"yoga, Power"
086875723.jpg,sports,"yoga, Power"
042418506.jpg,sports,"yoga, Power"
021772903.jpg,sports,"yoga, Power"
031098232.jpg,sports,"yoga, Power"
092019699.jpg,sports,"yoga, Power"
007558509.jpg,sports,"yoga, Power"
083208832.jpg,sports,"yoga, Power"
007660291.jpg,sports,"yoga, Power"
078078785.jpg,sports,"yoga, Power"
075453798.jpg,sports,"yoga, Power"
083885386.jpg,sports,"yoga, Power"
039127686.jpg,sports,"yoga, Power"
099920730.jpg,sports,"yoga, Power"
037443616.jpg,sports,"yoga, Power"
096764709.jpg,sports,"yoga, Power"
098565045.jpg,sports,"yoga, Power"
085597586.jpg,sports,"yoga, Power"
020139910.jpg,sports,"yoga, Power"
024720607.jpg,sports,"yoga, Power"
034292966.jpg,sports,"yoga, Power"
087154568.jpg,sports,"yoga, Power"
004027816.jpg,sports,"yoga, Power"
006970775.jpg,sports,"yoga, Power"
048359305.jpg,sports,"yoga, Power"
089588384.jpg,sports,"yoga, Power"
001564330.jpg,sports,"yoga, Power"
