folder_name,file_name,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9,label10,prob10
C:\IMAGES_SNEV\Flickr\picos\2015\16163086434.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16163086434.jpg,amphibian,0.4686833,breakwater,0.21367013,beacon,0.060283262,snowmobile,0.054648947,snowplow,0.04499529,seashore,0.038571756,wreck,0.030695362,promontory,0.013550772,fountain,0.010199982,speedboat,0.005360449
C:\IMAGES_SNEV\Flickr\picos\2015\16273254849.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16273254849.jpg,snowplow,0.26872745,alp,0.1514007,snowmobile,0.14210631,ski,0.112808205,park_bench,0.095047496,pole,0.019752616,lakeside,0.015911624,church,0.014857285,torch,0.012806803,ashcan,0.012436062
C:\IMAGES_SNEV\Flickr\picos\2015\16285407898.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16285407898.jpg,monastery,0.91134036,vault,0.02922517,palace,0.026328063,church,0.012970421,mosque,0.012542264,altar,0.0035459057,stupa,0.0031402465,throne,0.000289139,dome,0.00019104287,organ,0.00013849551
C:\IMAGES_SNEV\Flickr\picos\2015\16425047656.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16425047656.jpg,park_bench,0.80707735,shopping_cart,0.02809644,chainlink_fence,0.025099214,mailbox,0.01857552,shovel,0.015835766,ashcan,0.0141664045,parking_meter,0.01335567,lakeside,0.00805256,barrow,0.00582728,bannister,0.003505162
C:\IMAGES_SNEV\Flickr\picos\2015\16436161988.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16436161988.jpg,electric_locomotive,0.8402031,passenger_car,0.1170482,bullet_train,0.017568192,steam_locomotive,0.014004848,streetcar,0.0064491476,fire_engine,0.0022158632,freight_car,0.0020775115,snowplow,0.00017129388,lumbermill,7.631889e-05,ambulance,7.165627e-05
C:\IMAGES_SNEV\Flickr\picos\2015\16616536733.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16616536733.jpg,switch,0.49396265,megalith,0.13666134,vault,0.050984904,maze,0.041109707,radiator,0.027682155,bannister,0.022513032,clog,0.0202969,ice_bear,0.017148659,pedestal,0.014474033,tile_roof,0.014332396
C:\IMAGES_SNEV\Flickr\picos\2015\16617266665.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16617266665.jpg,alp,0.9668597,valley,0.016664052,mountain_tent,0.007953595,ski,0.0027286876,snowmobile,0.0014025896,volcano,0.00076839735,church,0.00061270973,snowplow,0.00029973302,yurt,0.00029953328,lakeside,0.00021710838
C:\IMAGES_SNEV\Flickr\picos\2015\16791057744.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16791057744.jpg,seashore,0.73385036,lakeside,0.121961415,promontory,0.0461142,alp,0.025006376,patio,0.012614184,volcano,0.0057615023,cliff,0.0047738208,monastery,0.0045461887,valley,0.004400539,geyser,0.004303872
C:\IMAGES_SNEV\Flickr\picos\2015\16911419169.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16911419169.jpg,mountain_bike,0.39464334,moped,0.33424342,crash_helmet,0.20524028,motor_scooter,0.03444329,unicycle,0.015650017,disk_brake,0.0057397815,bicycle-built-for-two,0.0021367804,tricycle,0.0019077535,parking_meter,0.0010839411,cannon,0.00069301075
C:\IMAGES_SNEV\Flickr\picos\2015\16913609254.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\16913609254.jpg,breakwater,0.6596428,sundial,0.05990188,dock,0.041158378,cannon,0.029264925,obelisk,0.027584823,pier,0.019632783,sandbar,0.019307788,seashore,0.017902415,lakeside,0.01146541,patio,0.010642872
